salinity,dispersant,1,2,3,average
0,FALSE,0.318677628,0.359219995,0.302926165,0.326941262
0,TRUE,0.343368074,0.347307866,0.311070156,0.333915365
5,FALSE,0.427611812,0.451577659,0.398788343,0.425992604
5,TRUE,0.423018386,0.445144209,0.369848189,0.412670261
15,FALSE,0.421062753,0.447101079,0.367579496,0.411914442
15,TRUE,0.323757844,0.344883035,0.281152775,0.316597885
35,FALSE,0.404759065,0.427440179,0.351773603,0.394657616
35,TRUE,0.344525783,0.375033393,0.299043898,0.339534358
50,FALSE,0.311191383,0.332557677,0.258206104,0.300651721
50,TRUE,0.412677702,0.426855352,0.378363842,0.405965632
70,FALSE,0.234203727,0.274070894,0.185794671,0.231356431
70,TRUE,0.345555561,0.366518885,0.297522942,0.336532463
