Salinity_val,Oil,Dis,bp_rate,cell_abundance
0,True,False,0.139,0.105
0,True,True,0.142,0.23
0,False,True,0.146,0.014
5,True,False,0.139,0.185
5,True,True,0.152,0.29
5,False,True,0.157,0.022
15,True,False,0.149,0.199
15,True,True,0.145,0.373
15,False,True,0.153,0.19
35,True,False,0.109,0.098
35,True,True,0.115,0.249
35,False,True,0.153,0.25
50,True,False,0.089,0.063
50,True,True,0.179,0.245
50,False,True,0.155,0.27
70,True,False,0.082,0.047
70,True,True,0.198,0.282
70,False,True,0.155,0.27
0,True,False,0.125,0.12
0,True,True,0.129,0.191
0,False,True,0.132,0.01
5,True,False,0.152,0.175
5,True,True,0.159,0.296
5,False,True,0.14,0.019
15,True,False,0.139,0.175
15,True,True,0.156,0.382
15,False,True,0.156,0.25
35,True,False,0.123,0.132
35,True,True,0.125,0.236
35,False,True,0.156,0.225
50,True,False,0.093,0.072
50,True,True,0.183,0.251
50,False,True,0.153,0.298
70,True,False,0.089,0.056
70,True,True,0.186,0.309
70,False,True,0.143,0.282
0,True,False,0.135,0.111
0,True,True,0.128,0.185
0,False,True,0.128,0.017
5,True,False,0.167,0.195
5,True,True,0.149,0.329
5,False,True,0.145,0.035
15,True,False,0.121,0.185
15,True,True,0.129,0.358
15,False,True,0.129,0.18
35,True,False,0.101,0.099
35,True,True,0.12,0.255
35,False,True,0.148,0.242
50,True,False,0.091,0.06
50,True,True,0.199,0.279
50,False,True,0.148,0.256
70,True,False,0.076,0.042
70,True,True,0.201,0.299
70,False,True,0.152,0.231
